"Sep 30, 2014", Rex Black,"Advanced Software Testing - Vol. 2, 2nd Edition: Guide to the ISTQB Advanced Certification as an Advanced Test Manager",$27.27(52 used & new offers),$ 47 94,4.3,True
"Sep 30, 2014",,,,,,
, Rex Black,,,,,
,,"Advanced Software Testing - Vol. 2, 2nd Edition: Guide to the ISTQB Advanced Certification as an Advanced Test Manager",,,,
,,,$27.27(52 used & new offers),,,
,,,,$ 47 94,,
,,,,,4.3,
,,,,,,True
"Dec 28, 2015", Rex Black,"Advanced Software Testing - Vol. 1, 2nd Edition: Guide to the ISTQB Advanced Certification as an Advanced Test Analyst",$23.99(60 used & new offers),$ 37 59,3.8,True
"Dec 28, 2015",,,,,,
, Rex Black,,,,,
,,"Advanced Software Testing - Vol. 1, 2nd Edition: Guide to the ISTQB Advanced Certification as an Advanced Test Analyst",,,,
,,,$23.99(60 used & new offers),,,
,,,,$ 37 59,,
,,,,,3.8,
,,,,,,True
"Apr 12, 1999", Cem Kaner and Jack Falk,"Testing Computer Software, 2nd Edition",$1.90(112 used & new offers),$ 50 90,4.2,True
"Apr 12, 1999",,,,,,
, Cem Kaner and Jack Falk,,,,,
,,"Testing Computer Software, 2nd Edition",,,,
,,,$1.90(112 used & new offers),,,
,,,,$ 50 90,,
,,,,,4.2,
,,,,,,True
"Nov 8, 2011", Glenford J. Myers and Corey Sandler,The Art of Software Testing,$38.52(47 used & new offers),$ 112 89,4.1,True
"Nov 8, 2011",,,,,,
, Glenford J. Myers and Corey Sandler,,,,,
,,The Art of Software Testing,,,,
,,,$38.52(47 used & new offers),,,
,,,,$ 112 89,,
,,,,,4.1,
,,,,,,True
"May 16, 2017", Krishna Rungta,Learn Testing in 1 Day: Definitive Guide to Learn Software Testing for Beginners,Kindle Unlimited.,$ 2 99,3.7,True
"May 16, 2017",,,,,,
, Krishna Rungta,,,,,
,,Learn Testing in 1 Day: Definitive Guide to Learn Software Testing for Beginners,,,,
,,,Kindle Unlimited.,,,
,,,,$ 2 99,,
,,,,,3.7,
,,,,,,True
, Sander Rossel,"Continuous Integration, Delivery, and Deployment: Reliable and faster software releases with automating builds, tests, and deployment",6,$ 44 99,5,True
,,,,,,
, Sander Rossel,,,,,
,,"Continuous Integration, Delivery, and Deployment: Reliable and faster software releases with automating builds, tests, and deployment",,,,
,,,6,,,
,,,,$ 44 99,,
,,,,,5,
,,,,,,True
"Mar 19, 2015", Jeff Langr and Andy Hunt,Pragmatic Unit Testing in Java 8 with JUnit,21,$ 26 27,3.7,True
"Mar 19, 2015",,,,,,
, Jeff Langr and Andy Hunt,,,,,
,,Pragmatic Unit Testing in Java 8 with JUnit,,,,
,,,21,,,
,,,,$ 26 27,,
,,,,,3.7,
,,,,,,True
